GEOID,NAME,population,age,pct_black,pct_hisp,pct_poverty
47175,"Van Buren County, Tennessee",5675,47.2,0.4,0.9,11.4
47025,"Claiborne County, Tennessee",31566,42.7,1.4,1.2,17.8
47077,"Henderson County, Tennessee",27889,41.2,9.4,2.2,15.1
47081,"Hickman County, Tennessee",24502,40.9,5.6,2.3,15.2
47085,"Humphreys County, Tennessee",18281,42.1,3.8,2.3,12.9
47089,"Jefferson County, Tennessee",52887,43.2,2.5,3.5,9.3
47141,"Putnam County, Tennessee",75565,36,2.7,6,15.4
47153,"Sequatchie County, Tennessee",14654,43,1.3,3.5,13.4
47155,"Sevier County, Tennessee",95523,42.4,1.4,5.7,10.6
47161,"Stewart County, Tennessee",13248,43.6,2.1,2.6,13.7
47017,"Carroll County, Tennessee",28137,43,11.4,2.4,14.1
47023,"Chester County, Tennessee",17097,36.2,10.9,2.4,13.2
47039,"Decatur County, Tennessee",11681,45.7,3.4,3.2,17.1
47037,"Davidson County, Tennessee",678322,34.3,28.7,10.1,12.6
47087,"Jackson County, Tennessee",11573,46.9,1,1.9,16.5
47109,"McNairy County, Tennessee",25945,42.7,6.6,2,15.1
47135,"Perry County, Tennessee",7882,43.5,3.3,2.3,21.9
47145,"Roane County, Tennessee",52926,46.5,3.3,1.7,11.4
47011,"Bradley County, Tennessee",103666,39.2,5.5,5.8,13.5
47121,"Meigs County, Tennessee",11830,44.4,2.7,1.5,13.7
47063,"Hamblen County, Tennessee",63465,40.3,5.7,11.5,15.9
47075,"Haywood County, Tennessee",17944,40,51,4.3,13.8
47083,"Houston County, Tennessee",8188,43.6,5.5,0.8,10.5
47119,"Maury County, Tennessee",87606,38.9,12.8,5.4,10.2
47173,"Union County, Tennessee",19176,42,0.5,1.5,18
47071,"Hardin County, Tennessee",25813,45.3,3.9,2.3,15
47125,"Montgomery County, Tennessee",192120,30.5,22.3,9.7,11.3
47043,"Dickson County, Tennessee",51341,39.5,5.2,3.3,10.9
47129,"Morgan County, Tennessee",21639,41.2,5.3,1.2,16.6
47061,"Grundy County, Tennessee",13359,43,0.9,1.2,23
47123,"Monroe County, Tennessee",45698,43,2.5,4.2,15.5
47079,"Henry County, Tennessee",32263,45.3,9.2,2.3,14.2
47029,"Cocke County, Tennessee",35262,44.7,3.1,2.2,21.3
47131,"Obion County, Tennessee",30659,42.6,11.7,4,18.4
47143,"Rhea County, Tennessee",32478,40.7,2.8,4.6,18
47151,"Scott County, Tennessee",21949,38.7,1,0.8,20.7
47115,"Marion County, Tennessee",28355,43.2,2.4,1.7,14
47033,"Crockett County, Tennessee",14554,40,14.7,10.1,11.9
47041,"DeKalb County, Tennessee",19380,40.9,2.4,7.6,15.1
47095,"Lake County, Tennessee",7588,40.2,30.3,2.2,23.4
47093,"Knox County, Tennessee",452286,37.3,10,4,10.7
47101,"Lewis County, Tennessee",11944,44.7,1.3,2.2,16.1
47107,"McMinn County, Tennessee",52569,42.6,4.6,3.7,16.1
47117,"Marshall County, Tennessee",31753,39.3,7.9,4.9,10.2
47167,"Tipton County, Tennessee",61434,37.3,19.3,2.7,12.6
47001,"Anderson County, Tennessee",75538,43.3,4.9,2.7,13
47045,"Dyer County, Tennessee",37751,40.5,15.1,3.3,14
