DATE,COUNTY,TOTAL_CASES,POS_TESTS,NEG_TESTS,TOTAL_HOSPITALIZED,NAME,GEOID
2020-03-05T00:00:00Z,Williamson,1,NA,NA,NA,"Williamson County, Tennessee",47187
2020-03-06T00:00:00Z,Williamson,1,NA,NA,NA,"Williamson County, Tennessee",47187
2020-03-07T00:00:00Z,Williamson,1,NA,NA,NA,"Williamson County, Tennessee",47187
2020-03-08T00:00:00Z,Davidson,1,NA,NA,NA,"Davidson County, Tennessee",47037
2020-03-08T00:00:00Z,Shelby,1,NA,NA,NA,"Shelby County, Tennessee",47157
2020-03-08T00:00:00Z,Williamson,1,NA,NA,NA,"Williamson County, Tennessee",47187
2020-03-09T00:00:00Z,Davidson,1,NA,NA,NA,"Davidson County, Tennessee",47037
2020-03-09T00:00:00Z,Shelby,1,NA,NA,NA,"Shelby County, Tennessee",47157
2020-03-09T00:00:00Z,Williamson,1,NA,NA,NA,"Williamson County, Tennessee",47187
2020-03-10T00:00:00Z,Davidson,2,NA,NA,NA,"Davidson County, Tennessee",47037
2020-03-10T00:00:00Z,Shelby,1,NA,NA,NA,"Shelby County, Tennessee",47157
2020-03-10T00:00:00Z,Sullivan,1,NA,NA,NA,"Sullivan County, Tennessee",47163
2020-03-10T00:00:00Z,Williamson,3,NA,NA,NA,"Williamson County, Tennessee",47187
2020-03-11T00:00:00Z,Davidson,2,NA,NA,NA,"Davidson County, Tennessee",47037
2020-03-11T00:00:00Z,Shelby,1,NA,NA,NA,"Shelby County, Tennessee",47157
2020-03-11T00:00:00Z,Sullivan,1,NA,NA,NA,"Sullivan County, Tennessee",47163
2020-03-11T00:00:00Z,Williamson,5,NA,NA,NA,"Williamson County, Tennessee",47187
2020-03-12T00:00:00Z,Davidson,6,NA,NA,NA,"Davidson County, Tennessee",47037
2020-03-12T00:00:00Z,Knox,1,NA,NA,NA,"Knox County, Tennessee",47093
2020-03-12T00:00:00Z,Shelby,2,NA,NA,NA,"Shelby County, Tennessee",47157
2020-03-12T00:00:00Z,Sullivan,1,NA,NA,NA,"Sullivan County, Tennessee",47163
2020-03-12T00:00:00Z,Williamson,8,NA,NA,NA,"Williamson County, Tennessee",47187
2020-03-13T00:00:00Z,Davidson,10,NA,NA,NA,"Davidson County, Tennessee",47037
2020-03-13T00:00:00Z,Hamilton,1,NA,NA,NA,"Hamilton County, Tennessee",47065
2020-03-13T00:00:00Z,Jefferson,1,NA,NA,NA,"Jefferson County, Tennessee",47089
2020-03-13T00:00:00Z,Knox,1,NA,NA,NA,"Knox County, Tennessee",47093
2020-03-13T00:00:00Z,Rutherford,1,NA,NA,NA,"Rutherford County, Tennessee",47149
2020-03-13T00:00:00Z,Shelby,2,NA,NA,NA,"Shelby County, Tennessee",47157
2020-03-13T00:00:00Z,Sullivan,1,NA,NA,NA,"Sullivan County, Tennessee",47163
2020-03-13T00:00:00Z,Williamson,9,NA,NA,NA,"Williamson County, Tennessee",47187
2020-03-14T00:00:00Z,Campbell,1,NA,NA,NA,"Campbell County, Tennessee",47013
2020-03-14T00:00:00Z,Davidson,14,NA,NA,NA,"Davidson County, Tennessee",47037
2020-03-14T00:00:00Z,Hamilton,1,NA,NA,NA,"Hamilton County, Tennessee",47065
2020-03-14T00:00:00Z,Jefferson,1,NA,NA,NA,"Jefferson County, Tennessee",47089
2020-03-14T00:00:00Z,Knox,1,NA,NA,NA,"Knox County, Tennessee",47093
2020-03-14T00:00:00Z,Rutherford,1,NA,NA,NA,"Rutherford County, Tennessee",47149
2020-03-14T00:00:00Z,Shelby,2,NA,NA,NA,"Shelby County, Tennessee",47157
2020-03-14T00:00:00Z,Sullivan,1,NA,NA,NA,"Sullivan County, Tennessee",47163
2020-03-14T00:00:00Z,Williamson,10,NA,NA,NA,"Williamson County, Tennessee",47187
2020-03-15T00:00:00Z,Campbell,1,NA,NA,NA,"Campbell County, Tennessee",47013
2020-03-15T00:00:00Z,Davidson,17,NA,NA,NA,"Davidson County, Tennessee",47037
2020-03-15T00:00:00Z,Hamilton,1,NA,NA,NA,"Hamilton County, Tennessee",47065
2020-03-15T00:00:00Z,Jefferson,1,NA,NA,NA,"Jefferson County, Tennessee",47089
2020-03-15T00:00:00Z,Knox,1,NA,NA,NA,"Knox County, Tennessee",47093
2020-03-15T00:00:00Z,Rutherford,1,NA,NA,NA,"Rutherford County, Tennessee",47149
2020-03-15T00:00:00Z,Shelby,2,NA,NA,NA,"Shelby County, Tennessee",47157
2020-03-15T00:00:00Z,Sullivan,1,NA,NA,NA,"Sullivan County, Tennessee",47163
2020-03-15T00:00:00Z,Williamson,14,NA,NA,NA,"Williamson County, Tennessee",47187
2020-03-16T00:00:00Z,Campbell,1,NA,NA,NA,"Campbell County, Tennessee",47013
2020-03-16T00:00:00Z,Davidson,25,NA,NA,NA,"Davidson County, Tennessee",47037
2020-03-16T00:00:00Z,Hamilton,1,NA,NA,NA,"Hamilton County, Tennessee",47065
2020-03-16T00:00:00Z,Jefferson,1,NA,NA,NA,"Jefferson County, Tennessee",47089
2020-03-16T00:00:00Z,Knox,1,NA,NA,NA,"Knox County, Tennessee",47093
2020-03-16T00:00:00Z,Rutherford,1,NA,NA,NA,"Rutherford County, Tennessee",47149
2020-03-16T00:00:00Z,Sevier,1,NA,NA,NA,"Sevier County, Tennessee",47155
2020-03-16T00:00:00Z,Shelby,2,NA,NA,NA,"Shelby County, Tennessee",47157
2020-03-16T00:00:00Z,Sullivan,1,NA,NA,NA,"Sullivan County, Tennessee",47163
2020-03-16T00:00:00Z,Williamson,18,NA,NA,NA,"Williamson County, Tennessee",47187
2020-03-17T00:00:00Z,Campbell,1,NA,NA,NA,"Campbell County, Tennessee",47013
2020-03-17T00:00:00Z,Davidson,42,NA,NA,NA,"Davidson County, Tennessee",47037
