Year,Males,Females,Plague,Mortality
1629,5218,4683,0,8771
1630,4858,4457,1317,10554
1631,4422,4102,274,8562
1632,4994,4590,8,9535
1633,5158,4839,0,8393
1634,5035,4820,1,10400
1635,5106,4928,0,10651
1636,4917,4605,10400,23359
1637,4703,4457,3082,11763
1638,5359,4952,363,13624
1639,5366,4784,314,9862
1640,5518,5332,1450,12771
1641,5470,5200,1375,13142
1642,5460,4910,1274,13273
1643,4793,4617,996,13212
1644,4107,3997,1492,10933
1645,4047,3919,1871,11479
1646,3768,3395,2365,12780
1647,3796,3536,3597,14059
1648,3363,3181,611,9894
1649,3079,2746,67,10566
1650,2890,2722,15,8754
1651,3231,2840,23,10827
1652,3220,2908,16,12569
1653,3196,2959,6,10087
1654,3441,3179,16,13247
1655,3655,3349,9,11357
1656,3668,3382,6,13921
1657,3396,3289,4,12434
1658,3157,3013,14,14993
1659,3209,2781,36,14756
1660,3724,3247,13,12681
1661,4748,4107,20,16665
1662,5216,4803,12,13664
1663,5411,4881,9,12741
1664,6041,5681,5,15453
1665,5114,4858,68596,97306
1666,4678,4319,1998,12738
1667,5616,5322,35,15842
1668,6073,5560,14,17278
1669,6506,5829,3,19432
1670,6278,5719,0,20198
1671,6449,6061,5,15729
1672,6443,6120,5,18230
1673,6073,5822,5,17504
1674,6113,5738,3,21201
1675,6058,5717,1,17244
1676,6552,5847,2,18732
1677,6423,6203,2,19076
1678,6568,6033,5,20678
1679,6247,6041,2,21730
1680,6548,6299,0,21053
1681,6822,6533,0,23951
1682,6909,6744,0,20691
1683,7577,7158,0,20587
1684,7575,7127,0,23202
1685,7484,7246,0,23222
1686,7575,7119,0,22609
1687,7737,7214,0,21460
1688,7487,7101,0,22921
1689,7604,7167,0,23502
1690,7909,7302,0,21461
1691,7662,7392,0,22691
1692,7602,7316,0,20874
1693,7676,7483,0,20959
1694,6985,6647,0,24109
1695,7263,6713,0,19047
1696,7632,7229,0,18638
1697,8062,7767,0,20292
1698,8426,7626,0,20183
1699,7911,7452,0,20795
1700,7578,7061,0,19443
1701,8102,7514,0,20471
1702,8031,7656,0,19481
1703,7765,7683,0,20720
1704,6113,5738,0,22684
1705,8366,7779,0,22097
1706,7952,7417,0,19847
1707,8379,7687,0,21600
1708,8239,7623,0,21291
1709,7840,7380,0,21800
1710,7640,7288,0,24620
